公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
1809,中國製釉China Glaze,107/06/11,10.56,2018-06-11,2018Q2
1810,和成欣業HCG,107/04/17,7.93,2018-04-17,2018Q2
1817,凱撒衛浴SANITAR,107/04/03,37.17,2018-04-03,2018Q2
1902,台灣紙業TPPC,108/03/11,20.03,2019-03-11,2019Q1
1903,士林紙業Shihlin Paper,107/04/10,32.79,2018-04-10,2018Q2
1904,正隆Cheng Loong,107/09/27,20.4,2018-09-27,2018Q3
1905,中華紙漿CHP,107/04/11,9.8,2018-04-11,2018Q2
1906,寶隆P.L,107/04/10,17.05,2018-04-10,2018Q2
1907,永豐餘YFY,107/04/12,11.86,2018-04-12,2018Q2
1909,榮成紙業LCP,107/04/23,18.86,2018-04-23,2018Q2
2002,中國鋼鐵        (普 通)China Steel common,107/09/28,25.03,2018-09-28,2018Q3
2002A,中國鋼鐵        (特 別)China Steel preferred,108/03/11,46.84,2019-03-11,2019Q1
2006,東和鋼鐵Tung Ho Steel,107/04/11,20.89,2018-04-11,2018Q2
2007,燁興YH,107/12/05,5.28,2018-12-05,2018Q4
2008,高興昌KHC,107/06/28,12.4,2018-06-28,2018Q2
2009,第一伸銅FCC,107/04/20,10.47,2018-04-20,2018Q2
2010,春源鋼鐵Chun Yuan Steel,107/04/02,10.46,2018-04-02,2018Q2
2012,春雨工廠Chun Yu,108/03/29,21.89,2019-03-29,2019Q1
2013,中鋼構CSSC,107/04/11,27.21,2018-04-11,2018Q2
2015,豐興鋼鐵FH,108/03/28,60.13,2019-03-28,2019Q1
